date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,hmm_state,hmm_bull_flag,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2017-08-17,302.0,5.71042701737487,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-18,293.96,5.683443703660671,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,290.91,5.673013940984565,,-1.0074056151167448,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-20,299.1,5.700777965635902,,-0.9454335091918542,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-21,323.29,5.778549753229196,,-0.36711104918524895,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-22,309.8,5.735926927982768,,-1.1655274742914639,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-23,315.74,5.754919090103581,,-1.4351086208110932,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-24,323.42,5.778951788149798,,-1.263400783783921,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-25,327.24,5.790693846645498,,-1.2051756471047674,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-26,330.79,5.801483732946538,,-1.1479630835436212,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-27,348.13,5.852575973235498,,-0.7425171838121742,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-28,346.0,5.846438775057725,,-0.9454978681103159,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-29,374.7,5.926125705799642,,-0.17620895384849233,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-30,385.93,5.955656005869189,,-0.35758738703545356,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-31,384.79,5.952697730927882,,-0.5541169964271022,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,388.46,5.962190204403987,,-0.5143209304147378,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-02,343.14,5.83813852715528,,0.4696337707180467,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2017-09-03,341.77,5.834137996203326,,-0.3341176111250972,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-04,283.77,5.648164050893189,,0.8242197596320406,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2017-09-05,312.09,5.743291607750914,,-0.675758311401357,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-06,335.0,5.814130531825066,,-0.4972647997774635,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-07,334.49,5.81260698375519,,-0.892199320954282,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-08,302.99,5.7136998016644185,,-0.6354665067431193,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-09,296.74,5.692856334522648,,-0.9825323970942637,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-10,293.5,5.681877639268151,,-1.1222736148757566,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-11,297.3,5.694741730004052,,-1.2567257116162283,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-12,293.96,5.683443703660671,,-1.2573390524070127,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-13,276.91,5.623692543645438,,-1.0471781484530769,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-14,215.21,5.371614295609493,,1.164784225640918,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2017-09-15,253.0,5.53338948872752,,-0.13877669834324236,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-16,249.31,5.518697102039515,,-0.9897653331138185,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-17,257.55,5.5512138760115946,,-1.0622823107629749,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-18,294.57,5.685516665849309,,-0.47862488386852275,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-19,284.0,5.648974238161206,,-0.9342022997553414,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-20,282.0,5.641907070938114,,-1.1217996624875604,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-21,257.0,5.54907608489522,,-0.9683090036797728,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-22,264.0,5.575949103146316,,-1.6574664064527465,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
