date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,family_count,consensus
2018-06-12,14.6282,2.682951172602747,,,,,,,0,False
2018-06-13,13.8499,2.628278012390675,,,,,,,0,False
2018-06-14,14.0624,2.6435045688282437,,-1.6056372026818335,,,,,0,False
2018-06-15,13.82,2.626116818339524,,-1.429687447206423,,,,,0,False
2018-06-16,14.44,2.67000213346468,,-0.9557645957296048,,,,,0,False
2018-06-17,14.2399,2.656047883487262,,-1.6707436003920852,,,,,0,False
2018-06-18,15.0902,2.714045526502397,,-0.6479089465586607,,,,,0,False
2018-06-19,15.6025,2.747431157826061,,-0.6014194226699909,,,,,0,False
2018-06-20,17.35,2.8535925063928684,2.3149254207651784,-0.0918020776220363,,,,,0,False
2018-06-21,17.5826,2.8669097766572027,2.295052703790248,-0.29308858764610335,,,,,0,False
2018-06-22,14.48,2.6727683869575705,0.6776176099498704,0.37717750855189447,,,,,1,False
2018-06-23,14.753,2.69144645193543,0.04811054017990468,-0.6152589448304049,,,,,0,False
2018-06-24,14.792,2.6940864940848237,-0.323966525967994,-0.9715503389703914,,,,,0,False
2018-06-25,15.85,2.7631695003232895,-0.3114790811170092,-1.1631558922941352,,,,,0,False
2018-06-26,14.8447,2.697642899187002,-0.5760290719385848,-1.2092311997186584,,,,,0,False
2018-06-27,15.4501,2.7376154758147173,-0.628910368652995,-1.5607917650889245,,,,,0,False
2018-06-28,14.5421,2.6770478908374216,-0.8914604440634016,-1.2538507769142777,,,,,0,False
2018-06-29,15.2534,2.724802429023252,-0.9266744082498739,-1.4316166769348997,,,,,0,False
2018-06-30,16.1571,2.7823595815433495,-0.7762730376096527,-1.1804762681230245,,,,,0,False
2018-07-01,16.0358,2.7748237227643457,-0.6968280996971047,-1.5150220495075502,,,,,0,False
2018-07-02,16.6514,2.8124942969756686,-0.5294475027245793,-1.3826427239204564,,,,,0,False
2018-07-03,16.1401,2.781306858609474,-0.5101033758724511,-1.6456392192669211,,,,,0,False
2018-07-04,16.8426,2.823911391195895,-0.37901063436893595,-1.4544743418603736,,,,,0,False
2018-07-05,17.4,2.856470206220483,-0.19213226415457893,-1.4257246690310115,,,,,0,False
2018-07-06,18.327,2.90837538233574,0.09241629287247113,-1.172587262313898,,,,,0,False
2018-07-07,18.6621,2.9264947292799515,0.3452645000509927,-1.2047853310437346,,,,,0,False
2018-07-08,18.3447,2.909340704443767,0.47691440546790637,-1.3659421184153446,,,,,0,False
2018-07-09,18.1567,2.899039638598746,0.5340209734640091,-1.4748594200321512,,,,,0,False
2018-07-10,16.05,2.775708849576025,0.23142788875581408,-0.11623042490383062,,,,,0,False
2018-07-11,16.44,2.799717389628034,0.02835794960552169,-1.128338603968135,,,,,0,False
2018-07-12,16.3326,2.7931631104753896,-0.1740965209020755,-1.349564263510161,,,,,0,False
2018-07-13,16.27,2.7893229212309465,-0.36771635443615086,-1.5001736352473816,,,,,0,False
2018-07-14,16.3634,2.7950471335430733,-0.5308786966683303,-1.6767415075066678,,,,,0,False
2018-07-15,16.6365,2.811599076730769,-0.6446555011827382,-1.8505412094730147,,,,,0,False
2018-07-16,17.384,2.8555502429541284,-0.6568939674877954,-1.3589895906882936,,,,,0,False
2018-07-17,17.92,2.8859174075467844,-0.6122440328347563,-1.3515512828718848,,,,,0,False
2018-07-18,17.3411,2.853079406479907,-0.6576486516991632,-1.5462551067574752,,,,,0,False
2018-07-19,17.3844,2.855573252353469,-0.7037374060150803,-1.9042335727642876,,,,,0,False
2018-07-20,16.1008,2.778868960196932,-0.9238919344701818,-0.7459466435541098,,,,,0,False
2018-07-21,16.3356,2.7933467753242907,-1.090510209197114,-1.488521114179017,,,,,0,False
